"inventory","year","listings","city","median"
6.3,2000,701,"Abilene",71400
6.6,2000,746,"Abilene",58700
6.8,2000,784,"Abilene",58100
6.9,2000,785,"Abilene",68600
6.8,2000,794,"Abilene",67300
6.6,2000,780,"Abilene",66900
6.2,2000,742,"Abilene",73500
6.4,2000,765,"Abilene",75000
6.5,2000,771,"Abilene",64500
6.6,2000,764,"Abilene",59300
6.2,2000,721,"Abilene",70900
5.7,2000,658,"Abilene",65000
6.8,2001,779,"Abilene",64500
6,2001,700,"Abilene",68900
6.4,2001,738,"Abilene",72300
7,2001,810,"Abilene",71500
6.6,2001,772,"Abilene",71000
7.2,2001,825,"Abilene",78100
7.1,2001,801,"Abilene",86700
7.7,2001,891,"Abilene",69000
7.3,2001,849,"Abilene",64200
6.4,2001,756,"Abilene",64600
5.8,2001,695,"Abilene",69100
5.2,2001,620,"Abilene",71800
5.4,2002,652,"Abilene",64000
6.3,2002,746,"Abilene",62900
6.5,2002,774,"Abilene",62100
6.3,2002,767,"Abilene",66900
6.4,2002,778,"Abilene",69200
6.3,2002,758,"Abilene",76700
6.1,2002,746,"Abilene",73900
5.7,2002,709,"Abilene",82200
5.6,2002,703,"Abilene",67300
5.3,2002,664,"Abilene",73600
5.1,2002,643,"Abilene",59400
5.1,2002,649,"Abilene",65000
5.4,2003,668,"Abilene",70000
5.7,2003,716,"Abilene",72300
6,2003,765,"Abilene",62300
6.1,2003,763,"Abilene",79700
6,2003,750,"Abilene",79400
6.2,2003,777,"Abilene",71400
6.2,2003,778,"Abilene",75000
5.7,2003,731,"Abilene",78200
5.6,2003,730,"Abilene",74300
5.5,2003,721,"Abilene",67300
5.1,2003,675,"Abilene",66400
4.7,2003,640,"Abilene",66900
4.7,2004,657,"Abilene",66100
4.9,2004,682,"Abilene",70400
4.7,2004,668,"Abilene",63900
4.7,2004,696,"Abilene",68600
5.1,2004,752,"Abilene",71700
4.7,2004,720,"Abilene",79600
4.6,2004,701,"Abilene",82000
4.5,2004,686,"Abilene",91800
4.4,2004,677,"Abilene",74700
4.4,2004,663,"Abilene",81000
4.1,2004,630,"Abilene",77500
3.9,2004,600,"Abilene",71100
3.7,2005,570,"Abilene",74200
3.7,2005,581,"Abilene",74300
4.3,2005,661,"Abilene",71300
4.2,2005,650,"Abilene",80300
4.2,2005,660,"Abilene",87100
4.1,2005,664,"Abilene",92500
4.1,2005,657,"Abilene",93500
3.9,2005,638,"Abilene",97500
3.9,2005,644,"Abilene",92800
3.6,2005,601,"Abilene",92300
3,2005,496,"Abilene",92800
3.2,2005,522,"Abilene",102500
3.4,2006,559,"Abilene",90800
3.4,2006,561,"Abilene",98200
4.2,2006,683,"Abilene",1e+05
4.5,2006,736,"Abilene",103000
4.8,2006,786,"Abilene",99800
4.9,2006,804,"Abilene",93200
5,2006,812,"Abilene",104000
5,2006,817,"Abilene",109500
4.9,2006,797,"Abilene",97100
4.8,2006,792,"Abilene",99400
4.4,2006,724,"Abilene",103100
4.4,2007,746,"Abilene",91700
4.6,2007,774,"Abilene",1e+05
4.7,2007,816,"Abilene",86500
4.6,2007,807,"Abilene",89100
4.8,2007,849,"Abilene",99500
5,2007,872,"Abilene",121200
5.2,2007,940,"Abilene",114300
5.3,2007,948,"Abilene",113700
5.3,2007,932,"Abilene",111500
5.3,2007,932,"Abilene",110700
5.2,2007,892,"Abilene",102600
5.1,2007,856,"Abilene",103000
5.3,2008,859,"Abilene",88800
5.6,2008,899,"Abilene",111900
5.9,2008,923,"Abilene",97500
6.1,2008,941,"Abilene",106900
6.3,2008,951,"Abilene",104000
